country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Algeria,,,,,,,,,,,,,387
Armenia,,,,,,,,,478,,,,499
Australia,509,,,,,,,,505,,,,496
Bahrain,,,,,,,,,401,,,,398
Bosnia and Herzegovina,,,,,,,,,,,,,456
Botswana,,,,,,,,,366,,,,364
Bulgaria,527,,,,511,,,,476,,,,464
Canada,524,,,,537,,,,530,,,,522
Colombia,332,,,,,,,,,,,,380
Cyprus,468,,,,476,,,,459,,,,465
Czech Republic,546,,,,520,,,,,,,,504
Egypt,,,,,,,,,406,,,,391
El Salvador,,,,,,,,,,,,,340
Georgia,,,,,,,,,,,,,410
Ghana,,,,,,,,,276,,,,309
Hungary,527,,,,532,,,,529,,,,517
Indonesia,,,,,403,,,,411,,,,405
Iran,418,,,,422,,,,411,,,,403
Israel,,,,,466,,,,496,,,,463
Italy,,,,,479,,,,484,,,,480
Japan,581,,,,579,,,,570,,,,570
Jordan,,,,,428,,,,424,,,,427
Kuwait,,,,,,,,,,,,,354
Lebanon,,,,,,,,,433,,,,449
Lithuania,472,,,,482,,,,502,,,,506
Malaysia,,,,,519,,,,508,,,,474
Norway,498,,,,,,,,461,,,,469
Oman,,,,,,,,,,,,,372
Qatar,,,,,,,,,,,,,307
Romania,474,,,,472,,,,475,,,,461
Russia,524,,,,526,,,,508,,,,512
Saudi Arabia,,,,,,,,,,,,,329
Serbia,,,,,,,,,477,,,,486
Singapore,609,,,,604,,,,605,,,,593
Slovenia,494,,,,,,,,493,,,,501
South Korea,581,,,,587,,,,589,,,,597
Sweden,540,,,,,,,,499,,,,491
Syria,,,,,,,,,,,,,395
Thailand,,,,,467,,,,,,,,441
Tunisia,,,,,448,,,,410,,,,420
Turkey,,,,,,,,,,,,,432
Ukraine,,,,,,,,,,,,,462
United Kingdom,498,,,,496,,,,498,,,,511
United States,492,,,,502,,,,504,,,,508
